,AwardID,Group,Region,"Claim Type 1: Breach of Contract,Breach of Implied Contract",Claim Type 2: QuasiContractual Claims,Claim Type 3: Breach of Fiduciary Duty,Claim Type 4: Negligence,Claim Type 5: Failure to Supervise/Negligent Supervision,Claim Type 6: Fraud,Claim Type 7: Unjust Enrichment,Claim Type 8: Suitability or Unsuitability,Claim Type 9: Misrepresentation,Claim Type 10: Unauthorized Trading,Claim Type 11: Churning,Claim Type 12: Failure to Execute,Claim Type 13: Breach of Promissory Note,Claim Type 14: Conversion 1,Claim Type 15: Violation of Securities Laws/Regulations,Claim Type 16: Employment Related Claims,Claim Type 17: Other,Length of Case,Winner
2,17-02759,Group 1: Pro Se,Midwest,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,210.0,Claimant
4,17-02921,Group 1: Pro Se,Midwest,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,191.0,Claimant
5,16-02133,Group 3: One Attorney,,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,659.0,Claimant
6,15-00872,Group 1: Pro Se,Midwest,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1126.0,Respondent
7,17-02745,Group 4: Multiple Representatives,South,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,210.0,Respondent
8,16-02604,Group 3: One Attorney,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615.0,Claimant
10,17-00380,Group 3: One Attorney,Northeast,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,450.0,Respondent
11,17-01618,Group 2: One Non-Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,324.0,Claimant
12,14-02939,Group 3: One Attorney,South,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1323.0,Claimant
13,17-00448,Group 1: Pro Se,South,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,442.0,Claimant
